what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336437602853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336437605333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336437611208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336437611355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336437611356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336437615673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336438193987
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336438194585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336438260574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439018985
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336439020557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439023313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439031340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336439031483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336439031483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439032557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439488740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439490929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439496737
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336439499258
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1336439518814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439520154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439522590
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336439527362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439558859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439561960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439566806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439626630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439675550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336439811813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336439815125
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336439817162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1336439818693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439821975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439822000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439822009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439822049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336439822095
